"","MonitoringLocationIdentifier","Avg","Max","LatestSample","totalSamples"
"1","21MICH_WQX-010078",76.6103791469194,1413.6,2013-08-13,214
"2","21MICH_WQX-010083",22.2096951219512,770.1,2013-08-13,214
"3","21MICH_WQX-010085",30.1997142857143,690.59,2013-08-13,223
"4","21MICH_WQX-010100",28.3787640449438,290.9,2011-08-23,97
"5","21MICH_WQX-020110",10.18484375,156,2012-05-23,64
"6","21MICH_WQX-020111",12.298347826087,104,2012-09-04,115
"7","21MICH_WQX-020117",27.3208474576271,316,2012-09-04,59
"8","21MICH_WQX-020118",50,50,2007-08-02,1
"9","21MICH_WQX-040141",19.1208139534884,496,2013-08-26,174
"10","21MICH_WQX-040142",16.2814814814815,231,2013-08-26,136
"11","21MICH_WQX-040144",21.0785802469136,253.2,2013-08-26,165
"12","21MICH_WQX-050236",18.2272727272727,73.5,2011-09-12,11
"13","21MICH_WQX-060122",504.046981132075,2419.6,2013-06-20,64
"14","21MICH_WQX-060126",45.8594117647059,137.6,2013-04-11,17
"15","21MICH_WQX-060128",694.614117647059,2419.6,2013-04-11,37
"16","21MICH_WQX-060130",45.5672,166.4,2013-04-11,25
"17","21MICH_WQX-060132",25.1314285714286,69.7,2013-04-11,21
"18","21MICH_WQX-060154",54.5051724137931,488.4,2013-08-20,61
"19","21MICH_WQX-060155",50.5327118644068,410.6,2013-08-20,61
"20","21MICH_WQX-060156",116.513275862069,727,2013-08-20,61
"21","21MICH_WQX-100198",42.9725954198473,320,2014-08-18,188
"22","21MICH_WQX-100212",29.2801639344262,120,2010-08-30,80
"23","21MICH_WQX-100213",22.9180120481928,120,2014-08-26,214
"24","21MICH_WQX-100214",34.4974418604651,290,2010-08-30,80
"25","21MICH_WQX-110698",163.297115384615,4900,2013-09-09,61
"26","21MICH_WQX-150207",9.785,33.9,2007-08-29,10
"27","21MICH_WQX-150210",47.7571428571429,162.4,2009-09-04,8
"28","21MICH_WQX-150211",38.275,130.4,2009-09-04,8
"29","21MICH_WQX-150227",70.925,368.1,2007-08-30,10
"30","21MICH_WQX-150242",38.04,92.5,2009-09-04,8
"31","21MICH_WQX-160194",43.2470542635659,1178.4,2013-08-27,141
"32","21MICH_WQX-160195",37.4758646616541,452.1,2013-08-27,135
"33","21MICH_WQX-160198",43.6402127659575,435.2,2013-08-27,141
"34","21MICH_WQX-160199",43.3972661870504,2121.3,2013-08-27,141
"35","21MICH_WQX-170182",30.3961290322581,410.6,2012-08-22,101
"36","21MICH_WQX-170183",25.2016486486486,488.4,2013-07-22,411
"37","21MICH_WQX-170184",31.0601288659794,816.4,2013-07-22,428
"38","21MICH_WQX-170189",12.6724489795918,135.4,2012-08-22,110
"39","21MICH_WQX-170190",34.6364485981308,547.5,2012-08-22,116
"40","21MICH_WQX-170265",92.4937931034483,1986.3,2012-08-22,118
"41","21MICH_WQX-240153",3.276,11.22,2007-08-27,10
"42","21MICH_WQX-310429",8.30421052631579,26.2,2013-08-14,38
"43","21MICH_WQX-350196",37.2124081632653,1986.3,2013-08-13,274
"44","21MICH_WQX-350198",17.3011304347826,517.2,2013-08-13,254
"45","21MICH_WQX-350200",27.5664534883721,727,2013-08-13,183
"46","21MICH_WQX-450204",32.8535849056604,260,2010-08-30,81
"47","21MICH_WQX-450208",43.2425,260,2010-08-30,80
"48","21MICH_WQX-450210",45.3513725490196,330,2014-08-18,194
"49","21MICH_WQX-450211",31.5323529411765,200,2014-08-18,182
"50","21MICH_WQX-450214",60.6284615384615,450,2014-08-25,188
"51","21MICH_WQX-490135",48.0448760330579,1553.1,2014-07-16,133
"52","21MICH_WQX-490138",52.9822413793103,1119.9,2012-09-11,119
"53","21MICH_WQX-490145",115.17406779661,2419.6,2012-09-11,124
"54","21MICH_WQX-490148",150.515,1413.6,2012-09-11,137
"55","21MICH_WQX-500476",424.035653798257,2419.6,2011-09-28,817
"56","21MICH_WQX-550160",4.4375,5.2,2012-06-26,4
"57","21MICH_WQX-580463",31,104,2008-06-23,7
"58","21MICH_WQX-610672",83.6666666666667,155,2011-08-17,3
"59","21MICH_WQX-640241",95.69640625,1300,2009-07-13,65
"60","21MICH_WQX-640303",2.1775,5,2009-07-13,4
"61","21MICH_WQX-700593",45.4108544303798,1414,2013-08-27,345
"62","21MICH_WQX-710093",16.1342857142857,61.7,2009-09-08,14
"63","21MICH_WQX-710095",18.6782389937107,214.97,2013-08-28,162
"64","21MICH_WQX-710096",2.85790849673203,106,2013-08-21,156
"65","21MICH_WQX-710123",10.624,148,2013-08-21,147
"66","21MICH_WQX-710124",3.6,3.6,2008-06-03,1
"67","21MICH_WQX-710127",1.2,1.2,2008-06-03,1
"68","21MICH_WQX-740400",43.7143534482759,1299.7,2014-08-25,480
"69","21MICH_WQX-740403",8.76540481400438,137.4,2014-08-25,466
"70","21MICH_WQX-740405",37.9273568281938,727,2014-08-25,492
"71","21MICH_WQX-740406",22.2224628450106,365.4,2014-08-25,493
"72","21MICH_WQX-740410",72.4676857749469,1986.3,2014-08-25,482
"73","21MICH_WQX-740411",31.9882705099778,613.1,2014-08-25,465
"74","21MICH_WQX-740413",30.1696696035242,2419.2,2014-08-25,489
"75","21MICH_WQX-770098",68.7412429378531,2265.57,2013-06-11,191
"76","21MICH_WQX-770100",116.16691011236,1986.3,2013-09-10,189
"77","21MICH_WQX-821497",342.539411764706,2757,2009-08-31,81
"78","BMIC_WQX-BB",4.86666666666667,20.1,2014-09-09,18
"79","BMIC_WQX-BBDP",5.4875,17.5,2014-09-09,18
"80","BMIC_WQX-BBWR",52.1875,601.5,2014-09-09,21
"81","BMIC_WQX-BP1",125.894117647059,1413.6,2014-08-27,39
"82","BMIC_WQX-BP_1",157.479,1986.3,2011-08-31,106
"83","BMIC_WQX-BP2",152.41935483871,1732.9,2014-08-27,34
"84","BMIC_WQX-BP_2",130.903448275862,2419.6,2011-08-31,92
"85","BMIC_WQX-BP3",99.9515151515152,1732.9,2014-08-27,34
"86","BMIC_WQX-BP_3",111.745348837209,2419.6,2011-08-31,90
"87","BMIC_WQX-BP_A",14.7,17.3,2008-08-21,3
"88","BMIC_WQX-CCPOND",145.241176470588,980.4,2013-11-06,17
"89","BMIC_WQX-CLUBAB",174.294736842105,920.8,2014-09-03,19
"90","BMIC_WQX-CLUBBL",109.733333333333,488.4,2014-09-03,18
"91","BMIC_WQX-DEEP",20.94,62.4,2014-09-02,5
"92","BMIC_WQX-GUM1",56.0290322580645,203.5,2014-08-27,34
"93","BMIC_WQX-GUM_1",66.3703703703704,816.4,2011-08-31,89
"94","BMIC_WQX-GUM2",48.4379310344828,261.3,2014-08-27,31
"95","BMIC_WQX-GUM_2",70.7732394366197,1203.3,2011-08-31,79
"96","BMIC_WQX-GUM3",47.5290322580645,344.8,2014-08-27,33
"97","BMIC_WQX-GUM_3",77.0291666666667,920.8,2011-08-31,79
"98","BMIC_WQX-LNGMSH",14.46,18.1,2012-06-18,9
"99","BMIC_WQX-LONGM",4.65,5.2,2013-11-06,2
"100","BMIC_WQX-LWAB",206.777777777778,920.8,2014-09-15,18
"101","BMIC_WQX-LWBL",304.733333333333,1413.6,2014-09-15,18
"102","BMIC_WQX-MONLK",1.5,2,2013-11-06,13
"103","BMIC_WQX-NPOND",15.7733333333333,69.5,2013-11-06,17
"104","BMIC_WQX-PAR1",263.473684210526,920.8,2014-09-03,19
"105","BMIC_WQX-PAR2",216.355555555556,1046.2,2014-09-03,18
"106","BMIC_WQX-PARAB",73.3166666666667,410.6,2014-09-03,22
"107","BMIC_WQX-PARBL",240.845,770.1,2014-09-03,22
"108","BMIC_WQX-PONTY",902.55,2419.6,2014-09-02,4
"109","BMIC_WQX-PONTYS",313.1,1119.9,2012-06-20,13
"110","BMIC_WQX-SMRSH",25.8857142857143,235.9,2012-09-05,15
"111","BMIC_WQX-SPECLK",17.7352941176471,178.9,2014-09-02,20
"112","BMIC_WQX-SPOND",35.6928571428571,178.9,2013-11-06,17
"113","BMIC_WQX-SUGIS",2.36666666666667,7.3,2013-06-13,11
"114","BMIC_WQX-WET1",150.823529411765,686.7,2013-09-05,17
"115","BMIC_WQX-WET2",217.884615384615,1203.3,2013-11-06,16
"116","BMIC_WQX-WET3",175.44,686.7,2013-10-06,15
"117","BMIC_WQX-WHARF1",240.5,1203.3,2014-09-02,8
"118","BMIC_WQX-WHARF2",203.175,613.1,2013-09-05,4
"119","BMIC_WQX-WR",143.605882352941,870.4,2014-09-09,18
"120","BMIC_WQX-WR1A",491.1,866.4,2014-10-21,3
"121","BMIC_WQX-WR1B",51.55,60.9,2014-10-21,2
"122","BMIC_WQX-WR1C",59.75,65.7,2014-10-21,2
"123","BMIC_WQX-WR2A",14.85,21.1,2014-09-09,2
"124","BMIC_WQX-WR2B",21.35,22.8,2014-09-09,2
"125","BMIC_WQX-WR3",346.35,658.6,2014-08-28,2
"126","BMIC_WQX-WR4",302.133333333333,816.4,2014-10-21,4
"127","BMIC_WQX-WR5",321.266666666667,727,2014-10-21,3
"128","BMIC_WQX-WR6",954.7,1986.3,2014-10-21,4
"129","BMIC_WQX-WR7",946.26,2419.6,2014-10-21,5
"130","BMIC_WQX-WR8",187.95,325.5,2014-10-21,3
"131","BMIC_WQX-WR9",442.8,755.6,2014-10-21,3
"132","GNLK01_WQX-BC01",34,40,2011-02-23,2
"133","GNLK01_WQX-BC02",38,38,2011-02-23,1
"134","HANNAHWQ_WQX-SW-1",71.3807692307692,410,2015-08-11,27
"135","HANNAHWQ_WQX-SW-2",88.3814814814815,356,2015-08-11,28
"136","HANNAHWQ_WQX-SW-3",60.4166666666667,340,2015-07-15,24
"137","HANNAHWQ_WQX-SW-4",99.4208333333333,690,2015-08-11,25
"138","HANNAHWQ_WQX-SW-5",259.953571428571,2420,2015-08-11,28
"139","HANNAHWQ_WQX-SW-6",76.452,650,2015-08-11,26
"140","NOTTAWHURON_WQX-ICD-ST-40",793,830,2012-07-02,2
"141","NOTTAWHURON_WQX-ICD-ST-60",1011,1011,2012-07-02,1
"142","SAGIN01_WQX-Blank",0,0,2010-09-08,4
"143","SAGIN01_WQX-BROOMFIELD RD",22.9090909090909,50,2010-09-08,11
"144","SAGIN01_WQX-CHIP2",23.9210507282609,793.3,2015-09-29,92
"145","SAGIN01_WQX-CHIP4",73.9173260416667,1131.75,2015-09-29,96
"146","SAGIN01_WQX-CHIP7",478.876111111111,2005,2015-09-29,36
"147","SAGIN01_WQX-CHIP8",331.475381730769,7673.33,2015-09-29,104
"148","SAGIN01_WQX-CHIPPEWA RD",99.3166666666667,490,2010-09-08,12
"149","SAGIN01_WQX-CR1",445.737619047619,2005,2015-09-29,21
"150","SAGIN01_WQX-CR2",273.09380952381,1887.3,2015-09-29,21
"151","SAGIN01_WQX-CR3",218.35,1828.5,2015-09-29,21
"152","SAGIN01_WQX-CR4",108.637619047619,1440.5,2015-09-29,21
"153","SAGIN01_WQX-CR5",72.5009523809524,912.25,2015-09-29,21
"154","SAGIN01_WQX-D1",26.2666666666667,51,2012-10-16,45
"155","SAGIN01_WQX-D2",17.7906976744186,51,2012-10-16,43
"156","SAGIN01_WQX-GL",20.6807345132743,596,2015-09-29,113
"157","SAGIN01_WQX-LEATON RD",112.783333333333,510,2010-09-08,12
"158","SAGIN01_WQX-MERIDIAN RD",42.8333333333333,51,2010-10-13,6
"159","SAGIN01_WQX-MISSION RD",131,510,2010-10-08,12
"160","SAGIN01_WQX-NB1",23.9090909090909,51,2012-10-16,55
"161","SAGIN01_WQX-NB2",33.1521739130435,51,2012-10-16,46
"162","SAGIN01_WQX-NB3",33.2954545454545,51,2012-10-16,44
"163","SAGIN01_WQX-NB4",30.3111111111111,51,2012-10-16,45
"164","SAGIN01_WQX-NB5",40.9302325581395,51,2012-10-16,43
"165","SAGIN01_WQX-NB6",984.79716091954,18873.3,2015-09-29,87
"166","SAGIN01_WQX-OC1",2937.41633333333,13948,2015-09-29,21
"167","SAGIN01_WQX-PICKARD RD",78.25,220,2010-10-08,12
"168","SAGIN01_WQX-REMUS RD",103.25,360,2010-10-13,14
"169","SAGIN01_WQX-RIVER RD EAST",44.4,100,2010-09-08,11
"170","SAGIN01_WQX-RIVER RD WEST",27.1909090909091,51,2010-09-08,11
"171","SAGIN01_WQX-ROLLAND RD",56.3076923076923,140,2010-09-08,13
"172","SAGIN01_WQX-SC2",662.174166666667,1769.67,2014-09-18,12
"173","SAGIN01_WQX-SC4",133.889166666667,691,2014-09-18,12
"174","SAGIN01_WQX-SC5",289.509090909091,1828.5,2014-09-18,11
"175","SAGIN01_WQX-SC6",409.666363636364,2005,2014-09-18,11
"176","SAGIN01_WQX-SC7",283.54,393.75,2014-06-11,2
"177","SAGIN01_WQX-SCHOOL RD",25.9090909090909,51,2010-09-08,12
"178","SAGIN01_WQX-VANDECAR RD",36.8333333333333,90,2009-09-10,6
"179","SAGIN01_WQX-WORTH RD",86.3333333333333,310,2010-10-11,12
"180","USGS-04001000",228.689516129032,8800,1996-01-30,267
"181","USGS-04028100",1920.21052631579,9700,1973-06-20,38
"182","USGS-04032919",16.5,50,1998-06-16,4
"183","USGS-04040000",116.344709897611,3800,1995-08-29,299
"184","USGS-04043004",65.9911504424779,1400,1986-07-17,115
"185","USGS-04043018",27834,1e+05,1994-09-26,5
"186","USGS-04043060",31.5,56,1991-10-31,2
"187","USGS-04043064",101.5,190,1991-10-31,2
"188","USGS-04043065",4,7,1991-10-31,2
"189","USGS-04043068",64.25,180,1991-10-31,4
"190","USGS-04043069",47.5,52,1991-10-30,2
"191","USGS-04043070",30.5,32,1991-10-30,2
"192","USGS-04043080",23,36,1991-10-29,2
"193","USGS-04043085",21.5,36,1991-10-29,2
"194","USGS-04043090",23.5,43,1991-10-29,2
"195","USGS-04043100",45,80,1991-10-30,2
"196","USGS-04043105",22,37,1991-10-30,2
"197","USGS-04043120",7,11,1991-10-30,2
"198","USGS-040440492",400,400,1994-06-11,2
"199","USGS-040440493",NA,NA,1994-05-14,1
"200","USGS-040440494",105,200,1994-06-11,2
"201","USGS-040440495",NA,NA,1994-05-14,1
"202","USGS-040440496",NA,NA,1994-06-11,1
"203","USGS-040440498",NA,NA,1994-06-11,2
"204","USGS-040440499",855,1700,1994-06-11,2
"205","USGS-04044050",16500,42000,1994-05-14,3
"206","USGS-04044100",6.11111111111111,9,1973-06-29,11
"207","USGS-04044367",1510,2600,1993-10-28,2
"208","USGS-04044744",20.25,62,1980-05-05,4
"209","USGS-04044750",24.6666666666667,77,1981-10-22,6
"210","USGS-04044755",12.8333333333333,45,1981-10-22,6
"211","USGS-04044762",15.25,35,1980-05-06,4
"212","USGS-04044765",34.25,99,1980-05-07,4
"213","USGS-04044766",22,68,1980-05-07,4
"214","USGS-04044770",5.25,8,1981-10-20,6
"215","USGS-04044775",17.6666666666667,44,1981-10-20,6
"216","USGS-04044782",55.8333333333333,190,1981-10-21,6
"217","USGS-04044785",34,100,1981-10-21,6
"218","USGS-04044786",31.4,70,1981-10-21,6
"219","USGS-04045500",35.7727272727273,1200,1993-07-15,287
"220","USGS-04045580",11.5060606060606,230,1992-07-08,503
"221","USGS-04045581",5200,5500,1993-09-14,2
"222","USGS-04057004",23.4705882352941,410,1986-08-12,209
"223","USGS-04057005",1225.04,12500,1975-09-09,25
"224","USGS-04059000",60.8833333333333,2900,1994-09-08,332
"225","USGS-04059500",58.0258302583026,1500,1993-07-26,293
"226","USGS-04096286",291,354,1976-01-27,2
"227","USGS-04096287",220,220,1975-10-01,1
"228","USGS-04101500",2015.37362637363,22000,1995-09-22,188
"229","USGS-04101560",21.75,65,1975-08-21,6
"230","USGS-04101569",40.5,80,1974-09-10,7
"231","USGS-04102191",105,200,1972-06-21,2
